title,n,n_pos,base_rate,within_auc,mean_p,all_positives_missed
"Клинические рекомендации ""Гастрит и дуоденит""
Возрастная категория: Взрослые
# Лечение
## Эндоскопическое лечение",15,8,0.5333333333333333,0.75,0.4918847103418697,False
"Клинические рекомендации ""Головная боль напряжения (ГБН)""
Возрастная категория: Взрослые
# Лечение
## Особенности лечения ГБН, сочетающейся с лекарственно-индуцированной головной болью (ЛИГБ)",21,10,0.47619047619047616,0.2181818181818182,0.34219973329884923,True
"Клинические рекомендации ""Гонартроз""
Возрастная категория: Взрослые и дети
# Лечение
## Хирургическое лечение
### Особенности органосохраняющего оперативного лечения у детей с гонартрозом",4,1,0.25,0.0,0.26557939109832895,True
"Клинические рекомендации ""Желчнокаменная болезнь""
Возрастная категория: Взрослые
# Лечение
## Хирургическое лечение
### Холедохолитиаз/холангиолитиаз",4,3,0.75,0.3333333333333333,0.6292112907594216,False
"Клинические рекомендации ""Мочекаменная болезнь""
Возрастная категория: Взрослые
# Лечение
## Лечение мочекаменной болезни в особых группах пациентов",18,15,0.8333333333333334,0.4444444444444444,0.6944841578399563,False
"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Лечение пациентов с хронической сердечной недостаточностью и сочетанной патологией",28,27,0.9642857142857143,0.8333333333333333,0.815799981615916,False
"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Особенности лечения пациентов с хронической сердечной недостаточностью и желудочковыми нарушениями ритма сердца",25,11,0.44,0.8896103896103896,0.42735668460058585,False
"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Особенности лечения пациентов с хронической сердечной недостаточностью и фибрилляцией предсердий",31,15,0.4838709677419355,0.9104166666666667,0.5304402172767432,False
"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Профилактика фибрилляции предсердий у пациентов с хронической сердечной недостаточностью",31,24,0.7741935483870968,0.9404761904761906,0.6294438251589637,False
"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Рекомендации по контролю ритма у пациентов с фибрилляцией предсердий, симптомной ХСН, систолической дисфункцией левого желудочка при отсутствии острой декомпенсации",25,12,0.48,0.8846153846153846,0.4462631795568182,False
"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Рекомендации по начальному лечению пациентов с хронической сердечной недостаточностью и фибрилляцией предсердий с высокой частотой желудочковых сокращений в острой или хронической ситуации",24,7,0.2916666666666667,0.773109243697479,0.31178201667683075,False
"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Терапия, не рекомендованная (не доказан положительный эффект) пациентам с симптомной сердечной недостаточностью и сниженной фракцией выброса левого желудочка",31,25,0.8064516129032258,0.6566666666666667,0.7618441065596521,False
"Клинические рекомендации ""Хроническая сердечная недостаточность""
Возрастная категория: Взрослые
# Лечение
## Консервативное лечение
### Терапия, применение которой может быть опасно, и не рекомендовано для пациентов с хронической сердечной недостаточностью II-IV функционального класса и сниженной фракцией выброса левого желудочка",24,19,0.7916666666666666,0.8157894736842104,0.7104311194486567,False
"Клинические рекомендации ""Эндометриоз""
Возрастная категория: Взрослые и дети
# Лечение
## Эндометриоз и рак",20,2,0.1,0.16666666666666669,0.043808815114847154,True
