feature,coefficient,abs_coefficient,category
title_tfidf__подросток,-0.47288500632909297,0.47288500632909297,lexical
title_tfidf__год,-0.47288500632909297,0.47288500632909297,lexical
narrative_tfidf__небольшой,-0.4698466589203524,0.4698466589203524,lexical
title_tfidf__постменопауза,-0.45912075586896434,0.45912075586896434,lexical
title_tfidf__холецистит,0.4529151140730489,0.4529151140730489,lexical
title_tfidf__калькулёзный,0.4529151140730489,0.4529151140730489,lexical
narrative_tfidf__лоно,-0.4527931142542591,0.4527931142542591,lexical
narrative_tfidf__мкг,0.45096938897760597,0.45096938897760597,lexical
title_tfidf__пункционный,-0.45086177181200326,0.45086177181200326,lexical
title_tfidf__позвоночник,-0.45086177181200326,0.45086177181200326,lexical
title_tfidf__ситуация,-0.44901447711674014,0.44901447711674014,lexical
title_tfidf__желчнокаменный,0.44841148580785634,0.44841148580785634,lexical
narrative_tfidf__регулярный,-0.4482989276383118,0.4482989276383118,lexical
narrative_tfidf__жёсткий,0.4463566418092461,0.4463566418092461,lexical
narrative_tfidf__принимать,0.44299475586066067,0.44299475586066067,lexical
narrative_tfidf__нога,0.43933389861413286,0.43933389861413286,lexical
narrative_tfidf__проявление,0.43919804858818284,0.43919804858818284,lexical
narrative_tfidf__отечь,0.42744602703552587,0.42744602703552587,lexical
title_tfidf__гипертензия,0.41422473243188607,0.41422473243188607,lexical
title_tfidf__артериальный,0.41422473243188607,0.41422473243188607,lexical
narrative_tfidf__форма,-0.4136639417616567,0.4136639417616567,lexical
narrative_tfidf__сердечный,0.40348811037891447,0.40348811037891447,lexical
narrative_tfidf__незначительный,0.3989625631565794,0.3989625631565794,lexical
narrative_tfidf__мина,-0.3965120633194252,0.3965120633194252,lexical
narrative_tfidf__селезёнка,0.39488666767246966,0.39488666767246966,lexical
title_tfidf__терминальный,-0.39483090828685596,0.39483090828685596,lexical
title_tfidf__илеит,-0.39483090828685596,0.39483090828685596,lexical
narrative_tfidf__пастозность,-0.3946616901530044,0.3946616901530044,lexical
narrative_tfidf__подвижный,-0.3924638761236915,0.3924638761236915,lexical
narrative_tfidf__сухой,0.3891468810938595,0.3891468810938595,lexical
narrative_tfidf__норма,0.3886842135488013,0.3886842135488013,lexical
narrative_tfidf__заболевание,-0.38691051834034074,0.38691051834034074,clinical terms
title_tfidf__проявление,-0.384483299742431,0.384483299742431,lexical
narrative_tfidf__матка,-0.38070906075423033,0.38070906075423033,lexical
narrative_tfidf__также,0.3761699925393688,0.3761699925393688,lexical
narrative_tfidf__предъявлять,0.3746906897732505,0.3746906897732505,lexical
narrative_tfidf__левотироксин,0.37042658753076113,0.37042658753076113,lexical
narrative_tfidf__стул,-0.3659502043039108,0.3659502043039108,lexical
narrative_tfidf__повышение,0.3643539577078253,0.3643539577078253,lexical
narrative_tfidf__питание,-0.3607340880836961,0.3607340880836961,lexical
narrative_tfidf__ммоль,0.3598504836760143,0.3598504836760143,lexical
narrative_tfidf__отрицательный,0.3570017045481346,0.3570017045481346,negation
narrative_tfidf__консультация,0.35352838348330723,0.35352838348330723,lexical
narrative_tfidf__обл,-0.3484767109011317,0.3484767109011317,lexical
title_tfidf__медикаментозный,0.34665632514265265,0.34665632514265265,lexical
narrative_tfidf__преднизолон,-0.3458168333670213,0.3458168333670213,lexical
narrative_tfidf__достаточный,-0.34577166606407395,0.34577166606407395,lexical
narrative_tfidf__умеренный,-0.3454396048626622,0.3454396048626622,lexical
title_tfidf__эрозивный,0.34505166646871654,0.34505166646871654,lexical
narrative_tfidf__налёт,0.3430166099781954,0.3430166099781954,lexical
narrative_tfidf__натрий,0.34050182369095944,0.34050182369095944,lexical
narrative_tfidf__поясничный,0.33992736516789446,0.33992736516789446,lexical
narrative_tfidf__сут,-0.3378764964343531,0.3378764964343531,lexical
narrative_tfidf__смотреть,0.337399677901538,0.337399677901538,lexical
narrative_tfidf__симптом,0.3369545343529443,0.3369545343529443,clinical terms
narrative_tfidf__илеоколит,-0.336099569923006,0.336099569923006,lexical
narrative_tfidf__лёгкий,-0.33540053240672085,0.33540053240672085,lexical
title_tfidf__дисфункция,-0.33511091115808006,0.33511091115808006,lexical
narrative_tfidf__поколачивание,0.33497743554770465,0.33497743554770465,lexical
narrative_tfidf__наблюдаться,-0.3340123670310756,0.3340123670310756,lexical
narrative_tfidf__пастернацкий,0.33366113907530204,0.33366113907530204,lexical
narrative_tfidf__гр,-0.3316650059979452,0.3316650059979452,lexical
title_tfidf__хронический,-0.33089469129144017,0.33089469129144017,lexical
title_tfidf__недостаточность,0.3302263271559143,0.3302263271559143,lexical
title_tfidf__сердечный,0.3302263271559143,0.3302263271559143,lexical
narrative_tfidf__онемение,-0.3291427706494926,0.3291427706494926,lexical
narrative_tfidf__периферический,0.3287794011586584,0.3287794011586584,lexical
narrative_tfidf__уровень,0.3284455031111216,0.3284455031111216,lexical
narrative_tfidf__плотность,0.32796317600545166,0.32796317600545166,lexical
narrative_tfidf__липопротеид,0.32796317600545166,0.32796317600545166,lexical
narrative_tfidf__жкб,0.32777415974574453,0.32777415974574453,lexical
narrative_tfidf__ограничение,-0.32431816394838286,0.32431816394838286,lexical
narrative_tfidf__распределить,-0.32402232444934337,0.32402232444934337,lexical
narrative_tfidf__течение,-0.3229276043364359,0.3229276043364359,lexical
narrative_tfidf__отправление,0.31885240205815213,0.31885240205815213,lexical
narrative_tfidf__соска,-0.31741958075791427,0.31741958075791427,lexical
narrative_tfidf__край,-0.3165665028076686,0.3165665028076686,lexical
narrative_tfidf__стенозировать,-0.31571066017417804,0.31571066017417804,lexical
narrative_tfidf__кардиолог,0.31464352564102976,0.31464352564102976,lexical
title_tfidf__инфекция,-0.3141240233083793,0.3141240233083793,lexical
title_tfidf__рylori,-0.3141240233083793,0.3141240233083793,lexical
title_tfidf__эрадикационный,-0.3141240233083793,0.3141240233083793,lexical
narrative_tfidf__рот,0.3139262504333316,0.3139262504333316,lexical
narrative_tfidf__приём,-0.3113877168025873,0.3113877168025873,lexical
narrative_tfidf__неустойчивый,-0.3088416628256471,0.3088416628256471,lexical
narrative_tfidf__рекомендовать,-0.3072114541977477,0.3072114541977477,lexical
narrative_tfidf__последний,-0.30642041758267385,0.30642041758267385,lexical
narrative_tfidf__отсутствовать,0.30402808087261607,0.30402808087261607,negation
narrative_tfidf__сон,-0.30337804123052364,0.30337804123052364,lexical
narrative_tfidf__результат,0.3023084880509677,0.3023084880509677,lexical
narrative_tfidf__тремор,-0.3017290623409088,0.3017290623409088,lexical
narrative_tfidf__жалоба,0.297061839543202,0.297061839543202,clinical terms
narrative_tfidf__инв,-0.294590411259371,0.294590411259371,lexical
narrative_tfidf__анализ,0.2926567946748009,0.2926567946748009,lexical
narrative_tfidf__объективный,0.2922893149835519,0.2922893149835519,lexical
narrative_tfidf__конс,0.2912157518391356,0.2912157518391356,lexical
narrative_tfidf__нарушить,-0.2910225185209056,0.2910225185209056,lexical
narrative_tfidf__стенка,0.2909040422192115,0.2909040422192115,lexical
narrative_tfidf__кг,0.28991942886441874,0.28991942886441874,lexical
narrative_tfidf__болезненный,0.28958388804134505,0.28958388804134505,lexical
narrative_tfidf__аутоиммунный,0.28927489456479616,0.28927489456479616,lexical
narrative_tfidf__жжение,0.2884632660652594,0.2884632660652594,lexical
narrative_tfidf__система,0.28268082177409315,0.28268082177409315,lexical
narrative_tfidf__проверить,0.28254986650434294,0.28254986650434294,lexical
narrative_tfidf__статус,0.28179179365592183,0.28179179365592183,lexical
narrative_tfidf__слабо,0.2812392211602346,0.2812392211602346,lexical
narrative_tfidf__ммм,0.2804869055907189,0.2804869055907189,lexical
narrative_tfidf__супруг,-0.27946363048049633,0.27946363048049633,lexical
narrative_tfidf__отказаться,-0.27869802755028406,0.27869802755028406,lexical
narrative_tfidf__глазной,0.27866642508872563,0.27866642508872563,lexical
narrative_tfidf__брюшной,0.277912772312303,0.277912772312303,lexical
narrative_tfidf__spo,0.2777675537376203,0.2777675537376203,lexical
narrative_tfidf__покров,0.2776353938295956,0.2776353938295956,lexical
narrative_tfidf__тупость,0.27544915811189674,0.27544915811189674,lexical
narrative_tfidf__движение,-0.2736908611250713,0.2736908611250713,lexical
narrative_tfidf__дз,-0.2723718532274875,0.2723718532274875,lexical
narrative_tfidf__рёберный,-0.2722464514294934,0.2722464514294934,lexical
narrative_tfidf__дуга,-0.2722464514294934,0.2722464514294934,lexical
narrative_tfidf__сосудистый,0.27133479173903,0.27133479173903,lexical
narrative_tfidf__врач,0.2713323439825518,0.2713323439825518,lexical
narrative_tfidf__всд,0.2709228398518188,0.2709228398518188,lexical
narrative_tfidf__бессрочно,-0.27063301621385993,0.27063301621385993,lexical
narrative_tfidf__половина,0.2705992061703193,0.2705992061703193,lexical
narrative_tfidf__затруднить,-0.269831798370113,0.269831798370113,lexical
narrative_tfidf__бледный,0.268981271265475,0.268981271265475,lexical
narrative_tfidf__молочный,-0.26530219316902914,0.26530219316902914,lexical
narrative_tfidf__ощеий,0.264649450070822,0.264649450070822,lexical
narrative_tfidf__диастолический,-0.26298802529808324,0.26298802529808324,lexical
narrative_tfidf__мясо,-0.26298802529808324,0.26298802529808324,lexical
narrative_tfidf__приготовление,-0.26298802529808324,0.26298802529808324,lexical
title_tfidf__клинический,0.2626222605122869,0.2626222605122869,lexical
title_tfidf__взрослый,0.2626222605122869,0.2626222605122869,lexical
narrative_tfidf__внизу,-0.2616164973454537,0.2616164973454537,lexical
title_tfidf__беременная,-0.2598597899160597,0.2598597899160597,lexical
title_tfidf__бронхиальный,-0.2598597899160597,0.2598597899160597,lexical
title_tfidf__ба,-0.2598597899160597,0.2598597899160597,lexical
title_tfidf__вскармливание,-0.2598597899160597,0.2598597899160597,lexical
title_tfidf__период,-0.2598597899160597,0.2598597899160597,lexical
title_tfidf__астма,-0.2598597899160597,0.2598597899160597,lexical
title_tfidf__грудной,-0.2598597899160597,0.2598597899160597,lexical
narrative_tfidf__кожный,0.2598289710372304,0.2598289710372304,lexical
narrative_tfidf__ттг,0.2581379837990409,0.2581379837990409,lexical
narrative_tfidf__колопроктологический,-0.258050618207813,0.258050618207813,lexical
narrative_tfidf__поверхность,0.25529458133699706,0.25529458133699706,lexical
narrative_tfidf__покой,0.2542315016746447,0.2542315016746447,lexical
narrative_tfidf__тв,-0.2538118407082862,0.2538118407082862,lexical
narrative_tfidf__удовть,-0.2538118407082862,0.2538118407082862,lexical
narrative_tfidf__учащённый,0.25357697250935074,0.25357697250935074,lexical
narrative_tfidf__пол,-0.2531976008515149,0.2531976008515149,lexical
narrative_tfidf__тахикардия,-0.2525800880549569,0.2525800880549569,lexical
narrative_tfidf__примерно,-0.2515911363970935,0.2515911363970935,lexical
narrative_tfidf__мама,0.2513938832727137,0.2513938832727137,lexical
narrative_tfidf__летний,0.2513938832727137,0.2513938832727137,lexical
narrative_tfidf__разновидность,0.2513938832727137,0.2513938832727137,lexical
narrative_tfidf__явиться,0.2509989234953025,0.2509989234953025,lexical
narrative_tfidf__аускультативный,-0.2507054684688911,0.2507054684688911,lexical
narrative_tfidf__вздутый,0.24940910476696124,0.24940910476696124,lexical
narrative_tfidf__оволосение,-0.24731404561889583,0.24731404561889583,lexical
narrative_tfidf__женский,-0.24731404561889583,0.24731404561889583,lexical
narrative_tfidf__весь,-0.247284123347128,0.247284123347128,lexical
narrative_tfidf__осложнение,0.24722178712313556,0.24722178712313556,clinical terms
narrative_tfidf__аритмия,0.24718751010032597,0.24718751010032597,lexical
narrative_tfidf__активно,0.247095172049517,0.247095172049517,lexical
narrative_tfidf__симметричный,-0.2465597879079475,0.2465597879079475,lexical
narrative_tfidf__фибрилляция,0.24597238200408889,0.24597238200408889,lexical
narrative_tfidf__связать,0.24597238200408889,0.24597238200408889,lexical
narrative_tfidf__предсердие,0.24597238200408889,0.24597238200408889,lexical
narrative_tfidf__основной,-0.24466095379772967,0.24466095379772967,lexical
narrative_tfidf__эпизод,0.24412900190504713,0.24412900190504713,lexical
narrative_tfidf__стома,0.2435519158723293,0.2435519158723293,lexical
title_tfidf__симптомный,0.24336068076681286,0.24336068076681286,lexical
narrative_tfidf__ммртст,0.2431950273739031,0.2431950273739031,lexical
narrative_tfidf__изменить,-0.2431898428150586,0.2431898428150586,lexical
narrative_tfidf__миндалина,0.24249977717038007,0.24249977717038007,lexical
narrative_tfidf__смещать,0.2424532120082614,0.2424532120082614,lexical
narrative_tfidf__являться,-0.24227541175037068,0.24227541175037068,lexical
narrative_tfidf__ожирение,0.2421736178927686,0.2421736178927686,lexical
narrative_tfidf__стопа,0.24206663813994997,0.24206663813994997,lexical
narrative_tfidf__пилори,-0.24170759755111235,0.24170759755111235,lexical
narrative_tfidf__узел,-0.241698912569604,0.241698912569604,lexical
narrative_tfidf__данный,-0.24154652721120579,0.24154652721120579,lexical
narrative_tfidf__артерия,0.24099929734963996,0.24099929734963996,lexical
narrative_tfidf__большой,-0.24088787833065792,0.24088787833065792,lexical
narrative_tfidf__болеть,-0.2395053227613647,0.2395053227613647,lexical
narrative_tfidf__межреберье,-0.23892011100452742,0.23892011100452742,lexical
narrative_tfidf__удовлетворительный,0.23867298512260798,0.23867298512260798,lexical
narrative_tfidf__отсутствие,-0.23861871571787718,0.23861871571787718,negation
narrative_tfidf__влево,0.2385833925785567,0.2385833925785567,lexical
narrative_tfidf__аускультация,0.23856781989261278,0.23856781989261278,lexical
narrative_tfidf__боковой,0.2382639777859957,0.2382639777859957,lexical
narrative_tfidf__менструация,-0.23716199431780982,0.23716199431780982,lexical
narrative_tfidf__физиологический,0.23610911804860962,0.23610911804860962,lexical
narrative_tfidf__мочь,0.234938696360861,0.234938696360861,lexical
narrative_tfidf__есть,0.23338576070174855,0.23338576070174855,lexical
narrative_tfidf__год,-0.2333373568713277,0.2333373568713277,lexical
narrative_tfidf__исследование,-0.2332509873302983,0.2332509873302983,lexical
narrative_tfidf__общий,0.23226851923650563,0.23226851923650563,lexical
title_tfidf__гонартроз,-0.2318055053685726,0.2318055053685726,lexical
narrative_tfidf__телмисартан,-0.23124831495975517,0.23124831495975517,lexical
numeric__has_structured_header,-0.2310930770538774,0.2310930770538774,structural
narrative_tfidf__положение,0.2310506775253292,0.2310506775253292,lexical
narrative_tfidf__адекватный,-0.23096542558421648,0.23096542558421648,lexical
narrative_tfidf__обп,0.23085777194068272,0.23085777194068272,lexical
narrative_tfidf__различный,-0.2305445555780144,0.2305445555780144,lexical
narrative_tfidf__ингаляционный,-0.2305445555780144,0.2305445555780144,lexical
narrative_tfidf__эуфиллина,-0.2305445555780144,0.2305445555780144,lexical
narrative_tfidf__серетид,-0.2305445555780144,0.2305445555780144,lexical
narrative_tfidf__сердце,0.2292300045021193,0.2292300045021193,lexical
narrative_tfidf__половой,-0.2287973220025065,0.2287973220025065,lexical
narrative_tfidf__холестерин,0.22654656808544804,0.22654656808544804,lexical
narrative_tfidf__нагрузка,0.22605909361131898,0.22605909361131898,lexical
title_tfidf__заболевание,-0.22543088590600163,0.22543088590600163,clinical terms
title_tfidf__фасеточный,-0.22543088590600163,0.22543088590600163,lexical
title_tfidf__процедура,-0.22543088590600163,0.22543088590600163,lexical
title_tfidf__область,-0.22543088590600163,0.22543088590600163,lexical
title_tfidf__вмешательство,-0.22543088590600163,0.22543088590600163,lexical
title_tfidf__дегенеративный,-0.22543088590600163,0.22543088590600163,lexical
title_tfidf__дугоотростчатый,-0.22543088590600163,0.22543088590600163,lexical
title_tfidf__сустав,-0.22543088590600163,0.22543088590600163,lexical
title_tfidf__интервенционный,-0.22543088590600163,0.22543088590600163,lexical
narrative_tfidf__гипертрихоз,-0.2217022888243771,0.2217022888243771,lexical
narrative_tfidf__отменить,-0.22124913903164833,0.22124913903164833,lexical
narrative_tfidf__лимфоузел,0.22006702770716605,0.22006702770716605,lexical
narrative_tfidf__пациент,-0.21776412452565302,0.21776412452565302,lexical
narrative_tfidf__пульс,0.21758790739161568,0.21758790739161568,lexical
narrative_tfidf__липидограмма,0.2163513996528396,0.2163513996528396,lexical
title_tfidf__дуоденит,-0.21622280878704137,0.21622280878704137,lexical
title_tfidf__гастрит,-0.21622280878704137,0.21622280878704137,lexical
narrative_tfidf__дневный,-0.2146651598383692,0.2146651598383692,lexical
narrative_tfidf__среднее,-0.2146651598383692,0.2146651598383692,lexical
narrative_tfidf__губа,0.21439575340070388,0.21439575340070388,lexical
title_tfidf__возрастной,0.2142320101366214,0.2142320101366214,lexical
title_tfidf__категория,0.2142320101366214,0.2142320101366214,lexical
narrative_tfidf__вправо,0.2131405719268074,0.2131405719268074,lexical
narrative_tfidf__околопупочный,-0.21224336976635352,0.21224336976635352,lexical
narrative_tfidf__колит,0.21134507556136903,0.21134507556136903,lexical
narrative_tfidf__вводить,-0.21126989269667396,0.21126989269667396,lexical
narrative_tfidf__осмотр,-0.21049375332244946,0.21049375332244946,lexical
narrative_tfidf__яблоко,0.2104476457733162,0.2104476457733162,lexical
narrative_tfidf__введение,-0.21036994952058607,0.21036994952058607,lexical
narrative_tfidf__хирург,0.20948210199677886,0.20948210199677886,lexical
narrative_tfidf__эхокг,0.20872951288902028,0.20872951288902028,lexical
narrative_tfidf__тенезм,-0.20854698920891776,0.20854698920891776,lexical
narrative_tfidf__звучность,-0.20854698920891776,0.20854698920891776,lexical
narrative_tfidf__сторона,0.2085343312986029,0.2085343312986029,lexical
narrative_tfidf__сердечно,0.20807356270018448,0.20807356270018448,lexical
narrative_tfidf__пульсация,0.20786880928614412,0.20786880928614412,lexical
narrative_tfidf__группа,-0.2075221937200336,0.2075221937200336,lexical
narrative_tfidf__периодически,-0.2073445933317931,0.2073445933317931,lexical
title_tfidf__отдельный,0.20711236621594303,0.20711236621594303,lexical
narrative_tfidf__глухой,0.20553623319146655,0.20553623319146655,lexical
title_tfidf__левый,0.20547273238899075,0.20547273238899075,lexical
title_tfidf__желудочек,0.20547273238899075,0.20547273238899075,lexical
narrative_tfidf__одышка,0.20539374930921983,0.20539374930921983,lexical
narrative_tfidf__уд,0.20443602068559397,0.20443602068559397,lexical
narrative_tfidf__риск,0.20428543363854984,0.20428543363854984,lexical
narrative_tfidf__холецистит,0.20361469270328605,0.20361469270328605,lexical
narrative_tfidf__без,-0.20292310477590314,0.20292310477590314,lexical
narrative_tfidf__цианоз,0.2029135940389715,0.2029135940389715,lexical
narrative_tfidf__локб,-0.20221716509848353,0.20221716509848353,lexical
narrative_tfidf__область,0.20144392520069448,0.20144392520069448,lexical
narrative_tfidf__понос,0.20027503340407649,0.20027503340407649,lexical
narrative_tfidf__гемотрансфузия,-0.20025755448246968,0.20025755448246968,lexical
narrative_tfidf__имт,0.1980423021349934,0.1980423021349934,lexical
narrative_tfidf__использовать,-0.19724524259628184,0.19724524259628184,lexical
narrative_tfidf__физический,0.19698855048660618,0.19698855048660618,lexical
narrative_tfidf__аллопуринол,0.19584911174374564,0.19584911174374564,lexical
narrative_tfidf__вирусный,-0.19569283118384248,0.19569283118384248,lexical
narrative_tfidf__час,-0.19509784459722926,0.19509784459722926,lexical
narrative_tfidf__хаит,0.1944701817485056,0.1944701817485056,lexical
narrative_tfidf__воздух,0.19412425427559193,0.19412425427559193,lexical
narrative_tfidf__голенйцианоз,-0.1932746267603492,0.1932746267603492,lexical
narrative_tfidf__измение,-0.1932746267603492,0.1932746267603492,lexical
narrative_tfidf__трофический,-0.1932746267603492,0.1932746267603492,lexical
narrative_tfidf__систола,-0.1932746267603492,0.1932746267603492,lexical
narrative_tfidf__сравнить,-0.1932746267603492,0.1932746267603492,lexical
narrative_tfidf__сотка,-0.1932746267603492,0.1932746267603492,lexical
narrative_tfidf__инвал,-0.1932746267603492,0.1932746267603492,lexical
narrative_tfidf__сохранить,-0.1922067390830323,0.1922067390830323,lexical
narrative_tfidf__тест,-0.19218394888158374,0.19218394888158374,lexical
narrative_tfidf__особенность,-0.19150535954423556,0.19150535954423556,lexical
narrative_tfidf__колопроктолог,-0.19146792768992532,0.19146792768992532,lexical
narrative_tfidf__аит,0.19120565465333414,0.19120565465333414,lexical
narrative_tfidf__стоп,0.191119250973008,0.191119250973008,lexical
narrative_tfidf__гепатит,-0.19052219082207833,0.19052219082207833,lexical
narrative_tfidf__неувеличить,-0.1905078773276567,0.1905078773276567,lexical
narrative_tfidf__шейк,-0.1902988084047868,0.1902988084047868,lexical
narrative_tfidf__кишечник,-0.19006171256520518,0.19006171256520518,lexical
narrative_tfidf__часы,-0.18996829960297912,0.18996829960297912,lexical
narrative_tfidf__реакция,0.1899375092130468,0.1899375092130468,lexical
narrative_tfidf__передний,0.18991737881130108,0.18991737881130108,lexical
narrative_tfidf__вечером,0.18950553191306077,0.18950553191306077,lexical
narrative_tfidf__височный,-0.18936274143472223,0.18936274143472223,lexical
narrative_tfidf__работа,0.18919525341583654,0.18919525341583654,lexical
narrative_tfidf__что,-0.18916903337375865,0.18916903337375865,lexical
narrative_tfidf__тироксин,0.18893971101706827,0.18893971101706827,lexical
narrative_tfidf__оба,0.18893536404884984,0.18893536404884984,lexical
narrative_tfidf__рост,0.18890005821478356,0.18890005821478356,lexical
narrative_tfidf__самостоятельно,-0.1886223859324818,0.1886223859324818,lexical
narrative_tfidf__конечность,-0.18845208894556004,0.18845208894556004,lexical
narrative_tfidf__беловатый,0.18838141427007876,0.18838141427007876,lexical
narrative_tfidf__низкий,0.18758212903646126,0.18758212903646126,lexical
narrative_tfidf__мышечный,0.1870757112413216,0.1870757112413216,lexical
narrative_tfidf__расширить,0.1855549351195476,0.1855549351195476,lexical
narrative_tfidf__исключить,0.18546002614342527,0.18546002614342527,lexical
narrative_tfidf__цвет,0.18535956659038802,0.18535956659038802,lexical
narrative_tfidf__дефекация,-0.18516061219408353,0.18516061219408353,lexical
narrative_tfidf__мочеиспускание,-0.1850879533222239,0.1850879533222239,lexical
narrative_tfidf__каждый,-0.18443320103383534,0.18443320103383534,lexical
narrative_tfidf__плохой,0.1832807804620485,0.1832807804620485,lexical
narrative_tfidf__перебой,0.18260764909952534,0.18260764909952534,lexical
narrative_tfidf__эксперт,0.182480978726329,0.182480978726329,lexical
narrative_tfidf__нь,-0.18174720274993542,0.18174720274993542,lexical
narrative_tfidf__свищ,-0.18174720274993542,0.18174720274993542,lexical
narrative_tfidf__тестирование,-0.18128069816333423,0.18128069816333423,lexical
narrative_tfidf__рект,-0.18113478547551262,0.18113478547551262,lexical
narrative_tfidf__недомогание,0.18101142148706242,0.18101142148706242,lexical
narrative_tfidf__длительно,0.18083127888261216,0.18083127888261216,lexical
narrative_tfidf__несколько,-0.18038664135871552,0.18038664135871552,lexical
narrative_tfidf__показатель,0.18001976508831088,0.18001976508831088,lexical
narrative_tfidf__отёк,0.1799003494924708,0.1799003494924708,lexical
narrative_tfidf__подкожный,-0.17988379195713364,0.17988379195713364,lexical
narrative_tfidf__нквить,-0.17961207045658997,0.17961207045658997,lexical
